Time,X,Y,LosXF,LosYF,u,v,r,psi,Tp,Ts,Lateral_Error,Heading_Error
0.0,-9.22163094254211,5.64251766912639,-9.22163094254211,5.64251766912639,0.5013454630605167,-0.013545565219804106,-0.17988928311939353,-1.4070843577366736,10,10,0.0,0.0
0.10942933336893718,-9.214151921888973,5.58814773753458,-9.2166943103075,5.60199343040586,0.5111903262451443,-0.002126071251211928,-0.14436504243754064,-1.426769522068645,10,10,0.0025423884185258316,-0.013845692871279347
0.21885866673787435,-9.206353246534393,5.532754319626402,-9.2166943103075,5.60199343040586,0.526910766896413,0.006612564223749454,-0.0995466047299497,-1.4425672924243633,353,500,0.010341063773106285,-0.06923911077945721
0.32828800010681153,-9.198262202871964,5.475660748480724,-9.2092893649824,5.56243405491114,0.6507784146947516,0.008141763714444855,-0.042416752385920166,-1.4534606110191028,253,500,0.01102716211043564,-0.08677330643041614
0.4377173334757487,-9.189040566950203,5.405040465629241,-9.20311857759953,5.52383954450488,0.7501642669155411,0.009150859678440081,0.009452704396077517,-1.4581022479563694,239,500,0.014078010649328121,-0.11879907887563945
0.5471466668446858,-9.17881406115363,5.323583818094816,-9.20311857759953,5.52383954450488,0.8343853929146843,0.008452479159187112,0.04979926971973342,-1.457067844815773,242,500,0.02430451644590015,-0.20025572641006395
0.6565760002136231,-9.167533338026312,5.2329723961321,-9.1907770014368,5.46208832412958,0.9067951541609236,0.006381490209023348,0.07813409537379884,-1.4516183439280828,109,500,0.023243663410488224,-0.22911592799747993
0.7660053335825603,-9.155041914337652,5.134529302168362,-9.1907770014368,5.46208832412958,0.959404991128041,0.005817466186967481,0.10789306408020821,-1.443068181957943,120,500,0.03573508709914819,-0.32755902196121767
0.8754346669514974,-9.141037130382049,5.030478585382789,-9.16362553136423,5.33183184638619,1.0055991383949747,0.004104695686724177,0.12884413579443318,-1.4312615158805138,-111,278,0.02258840098218151,-0.3013532610034009
0.9848640003204345,-9.125287403580579,4.921568534570604,-9.16362553136423,5.33183184638619,0.9920845118308479,0.005210871670927512,0.1456499031886233,-1.4171621879920322,-102,352,0.03833812778365164,-0.4102633118155854
1.0942933336893717,-9.108110428468887,4.814371363352612,-9.1105567519553,5.15236736647785,0.993012358160529,0.0056362235422844995,0.16604037681782619,-1.401223816180851,-220,274,0.002446323486413604,-0.33799600312523737
1.203722667058309,-9.089164145747427,4.707369346847056,-9.1105567519553,5.15236736647785,0.9720165767591471,0.007097880388343938,0.18740764633219859,-1.383054128433349,-209,291,0.021392606207873754,-0.4449980196307939
1.3131520004272461,-9.06854858498311,4.603016256619654,-9.04144391976297,4.96904343366623,0.9568580467394477,0.007502912135138489,0.20766603482892723,-1.362546234626975,-108,270,-0.02710466522013988,-0.3660271770465764
1.4225813337961832,-9.04609703368945,4.500739973767075,-8.95505288336426,4.79150867648423,0.9475057456889733,0.0054140004933657185,0.21536776430365084,-1.339821478872275,-144,285,-0.09104415032519064,-0.2907687027171546
1.5320106671651206,-9.021784080691045,4.399944168359146,-8.95505288336426,4.79150867648423,0.9403505160196046,0.003971522879350841,0.22516661381920192,-1.3162539279953682,-144,285,-0.06673119732678501,-0.39156450812508403
1.6414400005340577,-8.995452511719094,4.300467313904771,-8.95505288336426,4.79150867648423,0.9350107294187581,0.0023779278940309284,0.2327393918822632,-1.291614095548192,-143,286,-0.040399628354833794,-0.49104136257945896
1.7508693339029948,-8.967006747968506,4.20218304419352,-8.85508610866964,4.60914960689843,0.9316255114557302,0.0007140745474798968,0.23822113789865215,-1.2661455790458243,-200,252,-0.11192063929886586,-0.40696656270490994
1.860298667271932,-8.936352133376735,4.104953810571645,-8.7341386526823,4.43257971294224,0.91992588386957,-5.157266044143391e-05,0.24405345964299455,-1.2400771987311852,-203,282,-0.202213480694434,-0.3276259023705945
1.969728000640869,-8.903668593866936,4.009740333348144,-8.7341386526823,4.43257971294224,0.9151366995392661,-0.0007922432958046444,0.25148183018653136,-1.2133705913360695,-152,228,-0.16952994118463494,-0.42283937959409634
2.0791573340098064,-8.868713467005778,3.915896170993545,-8.60825456026942,4.26565845124424,0.906460043347576,-0.002684799645309577,0.24876714665477492,-1.1858511023043572,-101,187,-0.26045890673635697,-0.3497622802506952
2.1885866673787433,-8.831737841278324,3.82385159588294,-8.60825456026942,4.26565845124424,0.8971505165414067,-0.005201247863644136,0.2378569515275912,-1.1586286792818326,-155,239,-0.22348328100890313,-0.44180685536130015
2.2980160007476806,-8.792930962091072,3.73367067317796,-8.47249721037224,4.10838581435382,0.8950010271042631,-0.005983216142643468,0.23586783447759552,-1.132600151639001,-157,268,-0.3204337517188325,-0.37471514117586
2.407445334116618,-8.751967505785949,3.6447069541868156,-8.47249721037224,4.10838581435382,0.8982042120594371,-0.006491039657876317,0.2361154952014316,-1.1067892917489428,-176,283,-0.2794702954137094,-0.46367886016700455
2.516874667485555,-8.708614542556795,3.5564917217536323,-8.33180322404951,3.9578672144562,0.9023482294742972,-0.006586569228713459,0.23864377760698272,-1.080951330510974,-151,260,-0.37681131850728455,-0.4013754927025679
2.6263040008544922,-8.662792870007676,3.469020892330619,-8.18000181624666,3.81120807118714,0.9041135985076443,-0.007235378922197177,0.2366174232740982,-1.0548367010147972,-219,272,-0.48279105376101583,-0.3421871788565207
2.7357333342234296,-8.614669257919335,3.382573304440686,-8.18000181624666,3.81120807118714,0.9029012854058663,-0.0065589987766665305,0.24116932013697384,-1.028943814122437,-219,281,-0.43466744167267457,-0.42863476674645407
